dt_98/dx_0 dt_98/dx_2 dt_98/dx_6 
0.02992748351906983 0.00961087991413193954 -0.0274926596084875789 
0.106302842754141105 -0.0277888100250282266 -0.0734938393564554676 
0.531046488395443439 0.231100695951036411 -0.183099859525544612 
0.31022182771198703 0.0402185556376621345 -0.085331388770498881 
0.21109117157954152 -0.0274635638111920544 -0.0838088349948014899 
0.132164243775747148 0.0727774871949687097 -0.043535878822601258 
0.202947230360486452 -0.248464102874065063 -0.298175874266006002 
0.13092002167972161 -0.111087903208292316 -0.159175453382699783 
0.143491159976408628 -0.0347105685587373591 -0.103137067240984634 
0.338316503676545033 0.35630294609186719 -0.105909074749277105 
0.048793370270507154 0.0699032880814022123 -0.0352258704336618766 
0.0492165079556025412 0.0044480672036867272 -0.0405466776580096361 
0.278843812735555419 -0.218421112188717625 -0.270696021892690764 
0.0725438588745877383 0.00315034600314190172 -0.0343560458802689636 
0.821791009462037869 -0.983984723060616129 -1.04620294513425649 
0.797219984383618185 0.122201383166006636 -0.0299369566040116226 
0.0479402705481511218 0.193081931533156087 -0.0584412063562378264 
1.03131373547088234 0.0218190780207026536 -0.029156639053178942 
0.0757266041003586687 -0.018985864756700499 -0.0607149951136694496 
0.143262854499804859 -4.30586701428981034e-005 -0.0682230610322973191 
